timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754508800100,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508800155,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800210,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508800268,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800324,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800379,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800435,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508800491,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508800556,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508800614,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800669,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800724,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800779,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800834,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508800890,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508800945,54,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,13,0,0
1754508800999,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801055,63,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508801118,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801173,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801229,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508801285,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801340,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508801405,78,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,39,0,0
1754508801483,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508801548,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,22,0,0
1754508801612,69,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,28,0,0
1754508801681,65,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508801746,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,17,0,0
1754508801804,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508801859,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801914,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508801970,56,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,15,0,0
1754508802026,64,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,24,0,0
1754508802090,57,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
1754508802147,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,14,0,0
1754508802202,55,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,13,0,0
1754508802257,58,HTTP Request,200,,Thread Group 1-1,text,true,,21558,128,1,1,http://localhost:8080/user/get-all,16,0,0
